YearMonth,Shoe_Sales
1980-01,85
1980-02,89
1980-03,109
1980-04,95
1980-05,91
1980-06,95
1980-07,96
1980-08,128
1980-09,124
1980-10,111
1980-11,178
1980-12,140
1981-01,150
1981-02,132
1981-03,155
1981-04,132
1981-05,91
1981-06,94
1981-07,109
1981-08,155
1981-09,123
1981-10,130
1981-11,150
1981-12,163
1982-01,101
1982-02,123
1982-03,127
1982-04,112
1982-05,108
1982-06,116
1982-07,153
1982-08,163
1982-09,128
1982-10,142
1982-11,170
1982-12,214
1983-01,134
1983-02,122
1983-03,142
1983-04,156
1983-05,145
1983-06,169
1983-07,134
1983-08,165
1983-09,156
1983-10,111
1983-11,165
1983-12,197
1984-01,124
1984-02,124
1984-03,139
1984-04,137
1984-05,127
1984-06,134
1984-07,136
1984-08,171
1984-09,112
1984-10,110
1984-11,147
1984-12,196
1985-01,112
1985-02,118
1985-03,125
1985-04,122
1985-05,120
1985-06,118
1985-07,281
1985-08,344
1985-09,366
1985-10,362
1985-11,580
1985-12,523
1986-01,348
1986-02,246
1986-03,197
1986-04,306
1986-05,279
1986-06,280
1986-07,358
1986-08,431
1986-09,448
1986-10,433
1986-11,504
1986-12,579
1987-01,384
1987-02,335
1987-03,320
1987-04,496
1987-05,448
1987-06,377
1987-07,523
1987-08,468
1987-09,428
1987-10,520
1987-11,493
1987-12,662
1988-01,304
1988-02,308
1988-03,313
1988-04,328
1988-05,354
1988-06,338
1988-07,483
1988-08,355
1988-09,439
1988-10,290
1988-11,352
1988-12,454
1989-01,306
1989-02,303
1989-03,344
1989-04,254
1989-05,309
1989-06,310
1989-07,379
1989-08,294
1989-09,356
1989-10,318
1989-11,405
1989-12,545
1990-01,268
1990-02,243
1990-03,273
1990-04,273
1990-05,236
1990-06,222
1990-07,302
1990-08,285
1990-09,309
1990-10,322
1990-11,362
1990-12,471
1991-01,198
1991-02,253
1991-03,173
1991-04,186
1991-05,185
1991-06,105
1991-07,228
1991-08,214
1991-09,189
1991-10,270
1991-11,277
1991-12,378
1992-01,185
1992-02,182
1992-03,258
1992-04,179
1992-05,197
1992-06,168
1992-07,250
1992-08,211
1992-09,260
1992-10,234
1992-11,305
1992-12,347
1993-01,203
1993-02,217
1993-03,227
1993-04,242
1993-05,185
1993-06,175
1993-07,252
1993-08,319
1993-09,202
1993-10,254
1993-11,336
1993-12,431
1994-01,150
1994-02,280
1994-03,187
1994-04,279
1994-05,193
1994-06,227
1994-07,225
1994-08,205
1994-09,259
1994-10,254
1994-11,275
1994-12,394
1995-01,159
1995-02,230
1995-03,188
1995-04,195
1995-05,189
1995-06,220
1995-07,274
